t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:59:03-23484)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-13:59:03-23484)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-13:59:03-23484)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-13:59:03-23484)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-13:59:03-23484)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:59:03-23484)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:59:03-23484)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:59:03-23484)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:59:03-23484)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:59:03-23484)"
86545.30861743246,1.0,,-1000.0,86545.55540161967,-128.46950437847,,-1000.0,,-1000.0,9.0,2.0,271.13971544,296.129892835,1.3287960356831
86591.11916254694,2.0,,-1000.0,,-1000.0,86591.36594675838,-129.56939154037,,-1000.0,9.0,2.0,182.45896096391,251.55211853322,1.2304610766618
87605.84649223473,8.0,,-1000.0,87606.09327642382,-128.56037626841,,-1000.0,,-1000.0,9.0,2.0,268.35650600006,313.70190160306,1.4278207147266
87800.76381305639,11.0,87801.01059722352,-127.44527674001,,-1000.0,,-1000.0,,-1000.0,9.0,2.0,387.18953510964,206.21249733139,1.5060563719524
88758.56251574417,20.0,,-1000.0,,-1000.0,88758.80929992678,-128.24487855663,,-1000.0,9.0,2.0,173.12396644267,189.16500257472,1.8321564763026
90441.40879345313,32.0,,-1000.0,90441.65557765993,-129.36767782723,,-1000.0,,-1000.0,9.0,2.0,324.26482415409,334.67116470791,1.7169318089808
90982.01620422998,37.0,90982.2629884026,-127.73683670245,,-1000.0,,-1000.0,,-1000.0,9.0,2.0,381.20095229198,203.25966621332,1.7081829663536
91246.99224542791,39.0,,-1000.0,,-1000.0,,-1000.0,91247.23902961431,-128.42993133994,9.0,2.0,155.48913327641,393.6430189375,1.6057119086427
91557.33744064004,41.0,,-1000.0,,-1000.0,91557.5842248314,-128.66704023193,,-1000.0,9.0,2.0,199.81143328002,183.74796314717,1.3861832961792
92510.79453544368,45.0,,-1000.0,,-1000.0,92511.04131962932,-128.39283655075,,-1000.0,9.0,2.0,166.77036916891,193.48035844197,1.2359724589786
92962.70038973841,50.0,92962.94717391192,-127.78232618637,,-1000.0,,-1000.0,,-1000.0,9.0,2.0,417.74242633492,203.43802289314,1.2244060515697
95288.4531457869,60.0,,-1000.0,95288.6999299595,-127.73541192778,,-1000.0,,-1000.0,9.0,2.0,300.46735656801,288.87932355444,1.7106915531941
96168.66826902035,66.0,,-1000.0,,-1000.0,96168.91505318785,-127.46570262102,,-1000.0,9.0,2.0,191.1186245037,222.7694681933,1.2975094016279
98280.73441918712,88.0,,-1000.0,98280.98120336205,-127.85639540895,,-1000.0,,-1000.0,9.0,2.0,280.33397903426,317.02713658181,1.2212959789676
98494.97348871484,91.0,,-1000.0,,-1000.0,98495.22027290775,-128.74094875038,,-1000.0,9.0,2.0,187.57132117383,242.28236144776,1.174119826763
98827.45981208429,94.0,,-1000.0,98827.70659625797,-127.79198249359,,-1000.0,,-1000.0,9.0,2.0,307.29870651014,322.05935506256,1.2319128125695
99965.1341689503,104.0,,-1000.0,,-1000.0,99965.38095312582,-127.88726147189,,-1000.0,9.0,2.0,206.99755305523,216.90137511492,1.7281483673996
100204.44201537252,107.0,,-1000.0,,-1000.0,100204.68879955974,-128.47014824755,,-1000.0,9.0,2.0,159.41119772018,216.95587315237,1.345157535479
101304.90305184292,117.0,,-1000.0,101305.14983601485,-127.70122991654,,-1000.0,,-1000.0,9.0,2.0,303.24883482886,290.11910126489,1.7566389678567
101403.702275938,119.0,,-1000.0,,-1000.0,101403.94906014192,-129.24190843975,,-1000.0,9.0,2.0,174.437947976,175.62388276271,1.9152744173637
102434.5184436558,125.0,,-1000.0,102434.7652278584,-129.18263879906,,-1000.0,,-1000.0,9.0,2.0,261.09718194436,301.45232177915,1.2231589274975
102966.88173797794,130.0,,-1000.0,,-1000.0,,-1000.0,102967.12852219756,-129.91152872285,9.0,2.0,105.11462190473,435.98442155393,1.5967432095375
104272.40582392864,142.0,,-1000.0,,-1000.0,104272.65260814912,-129.9470888073,,-1000.0,9.0,2.0,142.32620648342,205.85309723792,1.4191549062528
104743.43169865943,146.0,,-1000.0,104743.67848283716,-127.99957239647,,-1000.0,,-1000.0,9.0,2.0,276.89590575741,316.22802071593,1.4424865969365
105256.45181286188,150.0,,-1000.0,105256.6985970381,-127.92345578209,,-1000.0,,-1000.0,9.0,2.0,290.0970983275,286.89637664154,1.655942864782
105897.48007919228,153.0,,-1000.0,,-1000.0,105897.72686336556,-127.77199522167,,-1000.0,9.0,2.0,180.33550465149,229.80504339685,1.8917361006441
105931.0687259939,154.0,,-1000.0,,-1000.0,105931.31551021127,-129.81835781791,,-1000.0,9.0,2.0,149.49164938078,188.05982394834,1.9013699292567
106641.522056946,160.0,,-1000.0,,-1000.0,,-1000.0,106641.7688411622,-129.76991400233,9.0,2.0,150.21234547745,377.38926353088,1.4653801671743
108205.84971118708,172.0,108206.09649536516,-128.01813357053,,-1000.0,,-1000.0,,-1000.0,9.0,2.0,420.39087157621,213.51808945391,1.5319939904137
109582.38186120991,184.0,,-1000.0,109582.6286453913,-128.1835562669,,-1000.0,,-1000.0,9.0,2.0,322.07216227211,305.69041522363,1.8544976679953
110105.24545872872,187.0,,-1000.0,110105.49224289336,-127.30912102146,,-1000.0,,-1000.0,9.0,2.0,288.42280508177,301.62278415353,1.674829599858
110633.15320962302,193.0,,-1000.0,,-1000.0,110633.39999383704,-129.67904926466,,-1000.0,9.0,2.0,189.21768274964,253.13661184528,1.4167294159889
111168.4724092012,199.0,,-1000.0,,-1000.0,111168.71919337846,-127.97567283528,,-1000.0,9.0,2.0,206.21751065481,200.20633575543,1.7877616735857
111861.1832740342,204.0,,-1000.0,,-1000.0,111861.43005820455,-127.61777026909,,-1000.0,9.0,2.0,182.02426993333,226.61930960925,1.5165214278733
111977.96399798192,206.0,,-1000.0,,-1000.0,,-1000.0,111978.21078215863,-127.94711527341,9.0,2.0,126.29423489744,422.00071615528,1.2196065335238
112717.74387545456,212.0,,-1000.0,,-1000.0,,-1000.0,112717.99065967632,-129.9997732842,9.0,2.0,190.36923613039,406.04527413463,1.7621688569827
112893.62318621422,214.0,,-1000.0,,-1000.0,112893.86997038875,-127.83622983076,,-1000.0,9.0,2.0,206.15936694619,206.88860686061,1.5819731926855
113684.0202862661,218.0,,-1000.0,113684.2670704652,-129.02558492703,,-1000.0,,-1000.0,9.0,2.0,317.08021411818,335.30526219329,1.440252109677
113978.88391661596,220.0,,-1000.0,113979.13070083156,-129.74522462357,,-1000.0,,-1000.0,9.0,2.0,335.27388513564,288.75578954468,1.3804684731633
